post,responses,images,link
失智的狗狗，如果晚上四處走，不懂自己睡，是否買輪椅給牠晚上用，讓牠累就直接睡比較好？但我看到長期用手腳的位置會紅呢，應該怎樣比較好？（現在都是抱牠入睡，但凌晨牠自己起身我也不知道呢）請指教。,"輪椅不能坐太久
最多半小時
也不要讓狗狗在上面睡覺會不舒服血液不循環
容易不小心就走了",,https://www.facebook.com/share/p/qFf55T4BgHJs6TzY/
,如果不坐車嘅時候，就用頸圈保護，行路跌低也不會損害頭部,image01.jpg,
,"有時候看到狗狗站不起來又加上暈眩，彎著身體一直喘氣流口水，不好入睡時會讓他吃舒眠藥好好睡覺休息
所有的失智保養品都吃過一輪，最後是靠吃中藥維持",,
,"這個泳池的方式很適合繞圈圈的狗狗
走累了就直接倒頭就睡
圖片來源：thread@狗生粉難",image02.jpg,
,輪椅子最重要托住頭部，及𠄘托到身體，我寶貝坐及睡眠也很舒服，反而他躺着睡就不停要起床及打圈卡行，在車上已讓他行到累了，通常半夜在輪椅垂透了，就可放他再躺着睡,image03.jpg,
,可以試試蘇活沙美+樂寵安神沛，我家貓咪之前很嚴重，整天走不停，一天只睡半小時。吃了改善很多,,
,睡前按摩，我後來沒讓牠一直走，因走的時間越來越長，會打斷牠，抱過來按摩頭。大約三週，恢復了，狗子沒那麼傻，耳朵又聽到我在叫牠了。半夜也不太會起來走來走去,,
吃老狗失智夜晚狂叫，有何妙方？,請醫生開立輕微鎮靜的藥，不要覺得捨不得，狗狗一直叫沒有休息也是不行的，主人更應該得到好的睡眠才能照顧好寶貝,,https://www.facebook.com/groups/403191506497801/permalink/2631558230327773/?rdid=HqDuRASCUk53jABS&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2FidyouqqRo1EWrH3H%2F
,"白天盡量多散步、或是在家裡陪他活動，請醫生開保健品、嚴重的時候拿出聞嗅墊裡面放他喜歡的零食讓他找，轉移注意力
對我們家的老奶奶都蠻有效的",,
,"可以去看中醫針灸
我家18歲改善很多",,
,可以試試Hemp oil或褪黑激素讓他夜晚好睡一點。一直叫狗狗也不能休息其實很累的。,,
,我們請心臟科醫生開了少量的安眠藥給他 安穩的睡,,
,可以吃GABAPENTIN,,
,可以吃焦慮症的藥或是中藥，如果中藥有效，焦慮症的藥可以戒掉,,
,我家的給他轉圈圈他就不會叫，一限制活動不給轉圈圈就會叫,,
,"還能走路嗎？
如果時間許可，帶狗狗散步長時間一點，讓牠累些能好好休息。",,
"關於犬失智有問題想請益
上禮拜開始發現家中小狗（11歲）開始對於指令失去反應，聯想到前陣子他開始偶爾會躲在角落，有時候好像也會不認得我姊姊，懷疑他開始有失智的情形。
1.已有預約台大神經科醫師診察，但要等一個多月，想詢問大台北地區有其他專科醫師有專長看失智可以推薦嗎？
2. 另外，他目前除上述之外，精神活力食慾等都很正常，在犬認知障礙評估表上的分數也不算高（33分），這樣看專科醫生的意義大嗎？（因為爬文發現失智是屬於排除是診斷，需要靠症狀的察覺去確診）
3.爬文發現失智可以使用蘇活莎美、腦活素、中鏈油，請問這些都算是保健食品嗎？還是藥品？
在還沒看過醫生前，我可以先給狗狗使用嗎？
4.想請問如果做高壓氧大家使用的頻率為何？
大家的經驗裡，改善的情況又是如何？
爬文發現失智可能會惡化的很快，而且最後會癱瘓、危及性命，我現在有點驚慌，先謝謝各位的幫助🙏🙏",中獸醫去年開始推廣失智的檢驗系統跟調養中藥,,https://www.facebook.com/share/p/6DkLRFqSQQBN7G3M/
,"如果嗅覺還很好很愛吃零食，可以天天跟牠玩藏寶遊戲，先將零食藏在他窩周遭，再慢慢擴大範圍到。
去年一度也是發現家中老狗卡在角落哀嚎，我是用零食引誘他進出那角落+開始藏寶遊戲訓練，同時吃腦活素，有改善。",,
,3. 可以提前給，那些都算是保健品,,
,腦神經病變會引發很多後遺症。多補充魚油腦部營養品，抗氧化食物，抗發炎食物都要添加。運動或按摩不要間斷。失智無法完全復原。但是要預防惡化。,,
,我家是18歲老狗狗，最近有一直轉圈圈，會跑去撞牆壁加上一直流口水跟歪頭，醫生有開沙美跟肝腦症的藥物，另外搭配高壓氧，效果還不錯，給妳參考看看,,
